province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Tien Giang,2003,8,2003-08-01,175.4198745167524,183.96076518322636,-8.540890666473956,-0.2592972490785569
Soc Trang,2003,9,2003-09-01,327.79140882636665,286.62623006695844,41.16517875940821,0.7952067803074747
Tra Vinh,2003,9,2003-09-01,246.4544268416548,251.160925643905,-4.706498802250195,-0.09820109943184949
Vinh Long,2003,9,2003-09-01,253.43604245412573,243.832238883909,9.603803570216712,0.2105193397613669
Bac Lieu,2003,9,2003-09-01,367.8459187681726,322.0284290711807,45.81748969699191,0.6573355339318584
Ca Mau,2003,9,2003-09-01,369.8411762202225,342.6605029212382,27.18067329898429,0.3246625993056757
Can Tho city,2003,9,2003-09-01,230.96728149841783,231.31611362969153,-0.3488321312736957,-0.007339612447207451
Hau Giang,2003,9,2003-09-01,320.3590803601863,294.8919054468445,25.467174913341807,0.4490639687133517
An Giang,2003,9,2003-09-01,188.96671704851911,197.52043749205163,-8.553720443532512,-0.2304768908989279
Ben Tre,2003,9,2003-09-01,233.91360981132013,222.57899129298238,11.334618518337749,0.2725505350140315
Dong Thap,2003,9,2003-09-01,187.24974581655005,196.62450328757234,-9.374757471022292,-0.285867541101482
Kien Giang,2003,9,2003-09-01,304.56681005738346,302.9468704721603,1.6199395852231646,0.0258628193193591
Long An,2003,9,2003-09-01,221.05394287974983,245.87251182656567,-24.818568946815844,-0.6230779709467096
Tien Giang,2003,9,2003-09-01,220.8100185652927,225.62559783116296,-4.815579265870269,-0.1284922147108126
Soc Trang,2003,10,2003-10-01,434.7668537930466,287.11574679242716,147.65110700061945,1.6870497433812974
Tra Vinh,2003,10,2003-10-01,383.7197007900716,283.79119066165026,99.92851012842135,1.0400770212662716
Vinh Long,2003,10,2003-10-01,330.29185808643126,269.4053118595508,60.886546226880455,0.768045010021459
Bac Lieu,2003,10,2003-10-01,425.37153252986326,287.4462370841516,137.92529544571164,1.6395846966661494
Ca Mau,2003,10,2003-10-01,424.1566090511551,296.1054254793729,128.0511835717822,1.502162921526445
Can Tho city,2003,10,2003-10-01,336.9291056313024,271.98654438911865,64.94256124218373,0.9040777267907606
Hau Giang,2003,10,2003-10-01,388.6831575572316,280.899395420897,107.78376213633459,1.3834641006548123
An Giang,2003,10,2003-10-01,306.25930123085067,266.69010025401894,39.56920097683172,0.5583120523385866
Ben Tre,2003,10,2003-10-01,335.7492137376006,280.2823933497004,55.46682038790021,0.5949978580988431
Dong Thap,2003,10,2003-10-01,275.8000401541283,260.04538899245773,15.754651161670552,0.23566607256036015
Kien Giang,2003,10,2003-10-01,370.4258187837099,294.80366962271523,75.62214916099464,1.0158603572703893
Long An,2003,10,2003-10-01,288.52557635078847,280.5056669065941,8.019909444194354,0.10596518615953324
Tien Giang,2003,10,2003-10-01,291.61587350138063,271.95374387202685,19.662129629353785,0.24346849763083273
Soc Trang,2003,11,2003-11-01,148.59115201040768,159.72207554083136,-11.130923530423672,-0.18465735597235902
Tra Vinh,2003,11,2003-11-01,117.97753917282974,134.28834089488217,-16.31080172205243,-0.31034236116554287
Vinh Long,2003,11,2003-11-01,133.45998305341757,149.45275344743624,-15.992770394018663,-0.26734119204517165
Bac Lieu,2003,11,2003-11-01,130.3940090141694,166.4562288431516,-36.062219828982194,-0.5617620404302403
Ca Mau,2003,11,2003-11-01,127.04622783071852,177.42274124337874,-50.376513412660216,-0.7393428688119886
Can Tho city,2003,11,2003-11-01,148.10385723748047,157.06117018965762,-8.957312952177148,-0.13407086898840567
Hau Giang,2003,11,2003-11-01,161.55898030286716,166.68875424380337,-5.129773940936218,-0.07949566078031876
An Giang,2003,11,2003-11-01,111.99960923709892,145.29376415754825,-33.29415492044933,-0.48203724950770704
Ben Tre,2003,11,2003-11-01,96.86944186066854,121.707064253494,-24.837622392825452,-0.5079150165467334
