province_name,year,month,date,water_area_km2,province_area_km2,water_area_pct
Ca Mau,2015,7,2015-07-01,410.6786835947864,5185.881144708419,7.919168838141146
Can Tho city,2015,7,2015-07-01,34.680663983025454,1398.2168353387826,2.4803494784571423
Hau Giang,2015,7,2015-07-01,12.91296431548141,1678.4219435418108,0.7693514950258834
An Giang,2015,7,2015-07-01,79.95778787585675,3540.966155975497,2.2580782858069783
Ben Tre,2015,7,2015-07-01,201.10695705385396,2293.238665129326,8.769560713930865
Dong Thap,2015,7,2015-07-01,131.725856483974,3393.2412305670014,3.882006834567521
Kien Giang,2015,7,2015-07-01,327.4688661653803,6294.25596863703,5.202662042933901
Long An,2015,7,2015-07-01,74.43419725166319,4493.542342739985,1.656470365121255
Tien Giang,2015,7,2015-07-01,104.99233847931204,2393.1845244412143,4.387139286880804
Soc Trang,2015,8,2015-08-01,282.3286896083503,3348.8468758966987,8.43062403481058
Tra Vinh,2015,8,2015-08-01,211.51075127658945,2254.4401122278623,9.381963624998322
Vinh Long,2015,8,2015-08-01,78.32296975118179,1534.6515536941374,5.103632128260426
Bac Lieu,2015,8,2015-08-01,621.7286834216403,2610.873855724368,23.81304949139897
Ca Mau,2015,8,2015-08-01,642.2261716055156,5185.881144708419,12.38412824522274
Can Tho city,2015,8,2015-08-01,34.93449623145325,1398.2168353387826,2.498503475892475
Hau Giang,2015,8,2015-08-01,17.149324374108566,1678.4219435418108,1.0217528697176117
An Giang,2015,8,2015-08-01,233.66191384443735,3540.966155975497,6.598818049986872
Ben Tre,2015,8,2015-08-01,305.4853543383659,2293.238665129326,13.321132204141438
Dong Thap,2015,8,2015-08-01,254.7118748869238,3393.2412305670014,7.506447599198897
Kien Giang,2015,8,2015-08-01,389.48962562503664,6294.25596863703,6.188016940616691
Long An,2015,8,2015-08-01,156.5986920435084,4493.542342739985,3.484971990895288
Tien Giang,2015,8,2015-08-01,115.57961091338186,2393.1845244412143,4.829531936755633
Soc Trang,2015,9,2015-09-01,373.1878042828722,3348.8468758966987,11.143770321924505
Tra Vinh,2015,9,2015-09-01,255.062060763458,2254.4401122278623,11.313765195182004
Vinh Long,2015,9,2015-09-01,101.41521924144337,1534.6515536941374,6.608354775865677
Bac Lieu,2015,9,2015-09-01,640.6832690781264,2610.873855724368,24.539035758982447
Ca Mau,2015,9,2015-09-01,860.7394997882527,5185.881144708419,16.59774830486688
Can Tho city,2015,9,2015-09-01,151.963303872832,1398.2168353387826,10.86836462214474
Hau Giang,2015,9,2015-09-01,59.165857707034974,1678.4219435418108,3.5250884281328574
An Giang,2015,9,2015-09-01,392.22664949457953,3540.966155975497,11.076825708505693
Ben Tre,2015,9,2015-09-01,343.0063561158252,2293.238665129326,14.957289938092051
Dong Thap,2015,9,2015-09-01,924.7699991984944,3393.2412305670014,27.25329372011573
Kien Giang,2015,9,2015-09-01,614.5196764122373,6294.25596863703,9.763182169175536
Long An,2015,9,2015-09-01,732.5515446247863,4493.542342739985,16.302317609365293
Tien Giang,2015,9,2015-09-01,224.53780235520568,2393.1845244412143,9.382385689947291
Soc Trang,2015,10,2015-10-01,340.3080293009108,3348.8468758966987,10.161946541965696
Tra Vinh,2015,10,2015-10-01,245.10755652396432,2254.4401122278623,10.872214133989408
Vinh Long,2015,10,2015-10-01,282.39668700929906,1534.6515536941374,18.401355430131854
Bac Lieu,2015,10,2015-10-01,673.3748643592592,2610.873855724368,25.79116807512082
Ca Mau,2015,10,2015-10-01,1067.758916372511,5185.881144708419,20.589729817892824
Can Tho city,2015,10,2015-10-01,422.32544692110855,1398.2168353387826,30.20457458722993
Hau Giang,2015,10,2015-10-01,187.462187176712,1678.4219435418108,11.168954737396293
An Giang,2015,10,2015-10-01,460.4093605970917,3540.966155975497,13.00236546514673
Ben Tre,2015,10,2015-10-01,330.9011317733024,2293.238665129326,14.429424063222893
Dong Thap,2015,10,2015-10-01,1199.121237495095,3393.2412305670014,35.33852019400122
Kien Giang,2015,10,2015-10-01,1039.0251099661589,6294.25596863703,16.50751280442685
Long An,2015,10,2015-10-01,1161.9118733318585,4493.542342739985,25.85737008151504
Tien Giang,2015,10,2015-10-01,398.9871872720278,2393.1845244412143,16.67181043489271
Soc Trang,2015,11,2015-11-01,388.8152214632715,3348.8468758966987,11.610421015716373
Tra Vinh,2015,11,2015-11-01,237.3853158047792,2254.4401122278623,10.529679387676987
Vinh Long,2015,11,2015-11-01,245.694998700076,1534.6515536941374,16.009823083855817
Bac Lieu,2015,11,2015-11-01,505.63225160254086,2610.873855724368,19.36639912701784
Ca Mau,2015,11,2015-11-01,1050.9725608814674,5185.881144708419,20.26603640837124
Can Tho city,2015,11,2015-11-01,95.31755479331676,1398.2168353387826,6.81707961056138
Hau Giang,2015,11,2015-11-01,152.69417273683203,1678.4219435418108,9.09748429614882
An Giang,2015,11,2015-11-01,271.8179679104396,3540.966155975497,7.676378590959922
Ben Tre,2015,11,2015-11-01,304.19072234450124,2293.238665129326,13.264677897245669
Dong Thap,2015,11,2015-11-01,402.715255554948,3393.2412305670014,11.868158736467295
Kien Giang,2015,11,2015-11-01,1028.613618942959,6294.25596863703,16.342100227069363
Long An,2015,11,2015-11-01,736.8018362007887,4493.542342739985,16.396904268437716
Tien Giang,2015,11,2015-11-01,196.6458858268772,2393.1845244412143,8.216912812972167
Soc Trang,2015,12,2015-12-01,299.82275372611144,3348.8468758966987,8.953014719307818
Tra Vinh,2015,12,2015-12-01,233.65152840330825,2254.4401122278623,10.364060111244704
Vinh Long,2015,12,2015-12-01,94.89339202291256,1534.6515536941374,6.18338356967677
Bac Lieu,2015,12,2015-12-01,510.64087801974887,2610.873855724368,19.558236293192163
Ca Mau,2015,12,2015-12-01,786.7276247981694,5185.881144708419,15.170567987292424
Can Tho city,2015,12,2015-12-01,46.58625710077266,1398.2168353387826,3.3318335127530485
Hau Giang,2015,12,2015-12-01,21.093679309696338,1678.4219435418108,1.2567566451844876
An Giang,2015,12,2015-12-01,230.9534714481783,3540.966155975497,6.522329253512822
Ben Tre,2015,12,2015-12-01,318.16812212907473,2293.238665129326,13.874182699214684
Dong Thap,2015,12,2015-12-01,159.02827867178797,3393.2412305670014,4.6866187183872805
Kien Giang,2015,12,2015-12-01,545.7630426285317,6294.25596863703,8.670811059288908
Long An,2015,12,2015-12-01,355.1988534591711,4493.542342739985,7.9046513055129
Tien Giang,2015,12,2015-12-01,151.70361633304395,2393.1845244412143,6.338985347085399
Soc Trang,2016,1,2016-01-01,239.71775383579228,3348.8468758966987,7.158217820025128
Tra Vinh,2016,1,2016-01-01,261.24443565696066,2254.4401122278623,11.587996249711688
Vinh Long,2016,1,2016-01-01,87.32504967665704,1534.6515536941374,5.690220002478901
Bac Lieu,2016,1,2016-01-01,154.51661749829415,2610.873855724368,5.918195440944605
Ca Mau,2016,1,2016-01-01,763.9117352913556,5185.881144708419,14.730606313082156
Can Tho city,2016,1,2016-01-01,37.99994781962193,1398.2168353387826,2.7177435472957017
Hau Giang,2016,1,2016-01-01,12.522704408121912,1678.4219435418108,0.7460998979610851
An Giang,2016,1,2016-01-01,162.78145475366483,3540.966155975497,4.597091516363854
Ben Tre,2016,1,2016-01-01,383.8719508223936,2293.238665129326,16.739293500475902
Dong Thap,2016,1,2016-01-01,210.89511039722493,3393.2412305670014,6.215152300326874
Kien Giang,2016,1,2016-01-01,415.9650455248256,6294.25596863703,6.608645209179496
Long An,2016,1,2016-01-01,96.13609272429,4493.542342739985,2.139427769710745
Tien Giang,2016,1,2016-01-01,142.27587716690715,2393.1845244412143,5.945044174983841
Soc Trang,2016,2,2016-02-01,377.8641607951293,3348.8468758966987,11.283411120251683
Tra Vinh,2016,2,2016-02-01,298.1332645089096,2254.4401122278623,13.224270757598038
Vinh Long,2016,2,2016-02-01,88.72730189503946,1534.6515536941374,5.78159268020545
Bac Lieu,2016,2,2016-02-01,724.672591881008,2610.873855724368,27.75594042171573
Ca Mau,2016,2,2016-02-01,1350.4346300535033,5185.881144708419,26.040601247320577
Can Tho city,2016,2,2016-02-01,33.16834721189604,1398.2168353387826,2.372189089245194
Hau Giang,2016,2,2016-02-01,11.408789370901514,1678.4219435418108,0.6797330918366483
An Giang,2016,2,2016-02-01,86.17790240902171,3540.966155975497,2.4337397934062053
Ben Tre,2016,2,2016-02-01,377.66720173171336,2293.238665129326,16.468726411885047
Dong Thap,2016,2,2016-02-01,135.34288448435896,3393.2412305670014,3.9886019085576048
Kien Giang,2016,2,2016-02-01,736.242042415355,6294.25596863703,11.69704641952752
Long An,2016,2,2016-02-01,80.92304239165348,4493.542342739985,1.800874148262945
Tien Giang,2016,2,2016-02-01,140.04182897921194,2393.1845244412143,5.851693738990326
Soc Trang,2016,3,2016-03-01,407.4341602133508,3348.8468758966987,12.166401609636296
Tra Vinh,2016,3,2016-03-01,310.384733672141,2254.4401122278623,13.767708088081145
Vinh Long,2016,3,2016-03-01,106.66373707549448,1534.6515536941374,6.950355396229119
Bac Lieu,2016,3,2016-03-01,862.9864957706682,2610.873855724368,33.053550016541834
Ca Mau,2016,3,2016-03-01,1459.1951842949131,5185.881144708419,28.13784472835152
Can Tho city,2016,3,2016-03-01,93.7977385700572,1398.2168353387826,6.708382863043581
Hau Giang,2016,3,2016-03-01,27.979283053873225,1678.4219435418108,1.66699935981719
An Giang,2016,3,2016-03-01,152.39958746058977,3540.966155975497,4.303898448829014
Ben Tre,2016,3,2016-03-01,386.890440450742,2293.238665129326,16.870919121229953
Dong Thap,2016,3,2016-03-01,184.4854492524172,3393.2412305670014,5.436850395148304
Kien Giang,2016,3,2016-03-01,969.799950953287,6294.25596863703,15.407697999344144
Long An,2016,3,2016-03-01,121.38625569645872,4493.542342739985,2.701348878854498
Tien Giang,2016,3,2016-03-01,138.43266430443032,2393.1845244412143,5.784454265462586
Soc Trang,2016,4,2016-04-01,439.186661687703,3348.8468758966987,13.114563847297584
Tra Vinh,2016,4,2016-04-01,324.1138437611192,2254.4401122278623,14.37668900598235
Vinh Long,2016,4,2016-04-01,106.15892254773512,1534.6515536941374,6.917460989251572
Bac Lieu,2016,4,2016-04-01,752.8413300319281,2610.873855724368,28.83484119239678
Ca Mau,2016,4,2016-04-01,1313.0492872491875,5185.881144708419,25.31969496811549
Can Tho city,2016,4,2016-04-01,44.42898458269296,1398.2168353387826,3.1775461044229227
Hau Giang,2016,4,2016-04-01,27.555508234529807,1678.4219435418108,1.6417509518722149
An Giang,2016,4,2016-04-01,255.0628427111127,3540.966155975497,7.203199112216471
Ben Tre,2016,4,2016-04-01,406.5834883196846,2293.238665129326,17.72966305261365
Dong Thap,2016,4,2016-04-01,216.90279630456897,3393.2412305670014,6.39220089484546
Kien Giang,2016,4,2016-04-01,935.4682588061984,6294.25596863703,14.86225319509474
Long An,2016,4,2016-04-01,195.0421925308217,4493.542342739985,4.340499713904836
Tien Giang,2016,4,2016-04-01,140.71557359284202,2393.1845244412143,5.879846378569482
Soc Trang,2016,5,2016-05-01,462.14710847243686,3348.8468758966987,13.80018632081202
